# Shellcode detector== Legitimate instructions executed before shellcode was detected ==
0x7F9AD43A190F::libc.so.6  66 0F F4 E5             pmuludq xmm4, xmm5
0x7F9AD43A1913::libc.so.6  66 0F 73 F4 20          psllq xmm4, 0x20
0x7F9AD43A1918::libc.so.6  66 0F D4 C4             paddq xmm0, xmm4
0x7F9AD43A191C::libc.so.6  66 0F D4 C3             paddq xmm0, xmm3
0x7F9AD43A1920::libc.so.6  66 0F 6F D9             movdqa xmm3, xmm1
0x7F9AD43A1924::libc.so.6  66 41 0F D4 C1          paddq xmm0, xmm9
0x7F9AD43A1929::libc.so.6  66 0F 6C D9             punpcklqdq xmm3, xmm1
0x7F9AD43A192D::libc.so.6  66 0F 6D C9             punpckhqdq xmm1, xmm1
0x7F9AD43A1931::libc.so.6  66 0F 7F 18             movdqa xmmword ptr [rax], xmm3
0x7F9AD43A1935::libc.so.6  66 0F 7F 48 10          movdqa xmmword ptr [rax+0x10], xmm1
0x7F9AD43A193A::libc.so.6  66 0F 6F C8             movdqa xmm1, xmm0
0x7F9AD43A193E::libc.so.6  66 0F 6C C8             punpcklqdq xmm1, xmm0
0x7F9AD43A1942::libc.so.6  66 0F 6D C0             punpckhqdq xmm0, xmm0
0x7F9AD43A19BF::libc.so.6  48 8D 47 58             lea rax, ptr [rdi+0x58]
0x7F9AD43A19C3::libc.so.6  48 8D 97 48 08 00 00    lea rdx, ptr [rdi+0x848]
0x7F9AD43A19CA::libc.so.6  66 0F 1F 44 00 00       nop word ptr [rax+rax*1], ax
0x7F9AD43A19D0::libc.so.6  48 89 40 18             mov qword ptr [rax+0x18], rax
0x7F9AD43A19D4::libc.so.6  48 89 40 10             mov qword ptr [rax+0x10], rax
0x7F9AD43A19D8::libc.so.6  48 83 C0 10             add rax, 0x10
0x7F9AD43A19DC::libc.so.6  48 39 D0                cmp rax, rdx
0x7F9AD43A19DF::libc.so.6  75 EF                   jnz 0x7f9ad43a19d0
0x7F9AD43A19E1::libc.so.6  EB A7                   jmp 0x7f9ad43a198a
0x7F9AD43A19D0::libc.so.6  48 89 40 18             mov qword ptr [rax+0x18], rax
0x7F9AD43A19D4::libc.so.6  48 89 40 10             mov qword ptr [rax+0x10], rax
0x7F9AD43A19D8::libc.so.6  48 83 C0 10             add rax, 0x10
0x7F9AD43A19DC::libc.so.6  48 39 D0                cmp rax, rdx
0x7F9AD43A19DF::libc.so.6  75 EF                   jnz 0x7f9ad43a19d0
0x7F9AD43A19E1::libc.so.6  EB A7                   jmp 0x7f9ad43a198a
0x7F9AD43A198A::libc.so.6  48 8D 05 AF 74 30 00    lea rax, ptr [rip+0x3074af]
0x7F9AD43A1991::libc.so.6  49 39 C0                cmp r8, rax
0x7F9AD43A1994::libc.so.6  74 4D                   jz 0x7f9ad43a19e3
0x7F9AD43A1996::libc.so.6  41 8B 40 04             mov eax, dword ptr [r8+0x4]
0x7F9AD43A199A::libc.so.6  83 C8 02                or eax, 0x2
0x7F9AD43A199D::libc.so.6  41 89 40 04             mov dword ptr [r8+0x4], eax
